0.125	1.07611
0.375	1.23471
0.625	1.37409
0.875	1.47152
1.125	1.51662
1.375	1.49412
1.625	1.4023
1.875	1.26435
2.125	1.10147
2.375	0.928596
2.625	0.780828
2.875	0.68134
3.125	0.629924
3.375	0.622284
3.625	0.633164
3.875	0.650056
4.125	0.676412
4.375	0.723192
4.625	0.802232
4.875	0.921936
5.125	1.06428
5.375	1.22441
5.625	1.36877
5.875	1.46657
6.125	1.51169
6.375	1.48775
6.625	1.40704
6.875	1.27061
7.125	1.10374
7.375	0.933292
7.625	0.78366
7.875	0.681136
8.125	0.63502
8.375	0.632504
8.625	0.644964
8.875	0.661192
9.125	0.685832
9.375	0.727304
9.625	0.802856
9.875	0.922128
