0.125	1.07545
0.375	1.22006
0.625	1.33913
0.875	1.43117
1.125	1.46941
1.375	1.44272
1.625	1.36847
1.875	1.24435
2.125	1.09305
2.375	0.934224
2.625	0.79988
2.875	0.70384
3.125	0.65086
3.375	0.649604
3.625	0.6614
3.875	0.672932
4.125	0.698484
4.375	0.74214
4.625	0.823356
4.875	0.939656
5.125	1.07413
5.375	1.22192
5.625	1.35271
5.875	1.4475
6.125	1.47888
6.375	1.45748
6.625	1.3767
6.875	1.24753
7.125	1.10026
7.375	0.938608
7.625	0.80194
7.875	0.7034
8.125	0.654932
8.375	0.645152
8.625	0.662216
8.875	0.678048
9.125	0.696804
9.375	0.743952
9.625	0.822636
9.875	0.935016
