0	-9.89249e-05
0.001	0.000812637
0.00120973	0.000998344
0.00146344	0.00121065
0.00177036	0.00149041
0.00214166	0.001832
0.00259082	0.00222847
0.00313419	0.00268314
0.00379152	0.00324039
0.0045867	0.00388709
0.00554866	0.00461478
0.00671237	0.00549377
0.00812014	0.00643397
0.00982316	0.00745278
0.0118833	0.00854992
0.0143756	0.00938022
0.0173906	0.010115
0.0210379	0.0105986
0.0254501	0.0107268
0.0307877	0.0103826
0.0372447	0.00965616
0.0450559	0.00880796
0.0545054	0.00773046
0.0659367	0.00674706
0.0797654	0.00584196
0.0964944	0.00494174
0.116732	0.00420084
0.141214	0.00354941
0.17083	0.00310653
0.206658	0.00264123
0.25	0.00226523
