0	3.88586e-05
0.001	0.000261417
0.00115739	0.000291785
0.00133955	0.000378623
0.00155037	0.000323777
0.00179438	0.000446258
0.0020768	0.000482739
0.00240366	0.000490579
0.00278196	0.000691361
0.00321981	0.000716762
0.00372657	0.000938553
0.00431308	0.00099454
0.0049919	0.00121855
0.00577757	0.00130215
0.00668688	0.00147413
0.00773931	0.0019445
0.00895738	0.00203348
0.0103672	0.00237981
0.0119988	0.00269179
0.0138873	0.00308035
0.016073	0.00336961
0.0186027	0.00367613
0.0215305	0.00411181
0.0249191	0.00453796
0.0288411	0.00505749
0.0333803	0.00560968
0.0386339	0.00575192
0.0447144	0.00588756
0.0517519	0.00627124
0.059897	0.00631183
0.069324	0.00621115
0.0802347	0.00635077
0.0928627	0.00601386
0.107478	0.00574485
0.124394	0.00560579
0.143972	0.00528555
0.166631	0.00523734
0.192857	0.00485994
0.22321	0.00453983
0.25834	0.00439995
0.299	0.00446999
